#step	logL
54876	-196.433
54910	-195.773
54944	-189.523
54978	-196.199
55012	-190.512
55046	-186.071
55080	-193.83
55114	-184.729
55148	-197.404
55182	-196.795
55216	-200.023
55250	-204.253
55284	-201.466
55318	-185.07
55352	-199.44
55386	-201.864
55420	-196.278
55454	-194.607
55488	-186.64
55522	-186.298
55556	-197.215
55590	-199.911
55624	-195.615
55658	-195.444
55692	-195.965
55726	-206.251
55760	-201.571
55794	-205.646
55828	-197.09
55862	-194.239
55896	-200.449
55930	-203.476
55964	-200.277
55998	-205.412
56032	-202.713
56066	-200.532
56100	-209.637
56134	-207.602
56168	-201.596
56202	-204.711
56236	-207.099
56270	-209.346
56304	-208.562
56338	-206.548
56372	-199.724
56406	-200.984
56440	-200.453
56474	-199.132
56508	-202.752
56542	-205.471
56576	-206.307
56610	-209.427
56644	-201.076
56678	-202.23
56712	-202.393
56746	-195.611
56780	-194.676
56814	-199.808
56848	-200.837
56882	-205.45
56916	-193.071
56950	-203.378
56984	-206.181
57018	-199.109
57052	-193.584
57086	-194.374
57120	-194.415
57154	-197.369
57188	-194.503
57222	-192.338
57256	-191.91
57290	-189.8
57324	-196.071
57358	-197.77
57392	-199.724
57426	-197.15
57460	-193.439
57494	-187.392
57528	-190.893
57562	-187.817
57596	-196.281
57630	-198.211
57664	-195.021
57698	-198.834
57732	-201.183
57766	-194.756
57800	-208.463
57834	-205.733
57868	-205.995
57902	-196.887
57936	-202.792
57970	-205.379
58004	-201.985
58038	-199.333
58072	-196.978
58106	-209.539
58140	-202.941
58174	-211.769
58208	-206.682
58242	-210.215
58276	-206.297
58310	-203.52
58344	-188.713
58378	-188.822
58412	-198.805
58446	-197.963
58480	-198.625
58514	-198.482
58548	-204.859
58582	-205.25
58616	-204.264
58650	-202.256
58684	-208.403
58718	-209.397
58752	-208.131
58786	-202.044
58820	-208.745
58854	-208.423
58888	-211.388
58922	-208.392
58956	-202.744
58990	-195.726
59024	-206.901
59058	-207.4
59092	-208.695
59126	-198.023
59160	-191.594
59194	-195.62
59228	-198.354
59262	-204.758
59296	-199.221
59330	-204.162
59364	-197.32
59398	-200.819
59432	-200.916
59466	-201.622
